plate,mjd,z,zErr,zWarning,class,dec,dered_g,dered_i,dered_r,dered_u,dered_z,objID,ra,run1d,run2d,fiberID,snMedian,g-r,Check_Near_Objects,Near_Objects_Desc
9371,58073,0.7283067,0.000268365,4,GALAXY,-0.622734334,28.6672,17.8167,18.86982,28.01681,18.96064,1.24E+18,41.88884143,v5_13_2,v5_13_2,142,1.156175,9.79738,1,overlayed with star
9224,57933,0.7500604,0.000181118,0,GALAXY,-0.856799864,30.5631,16.18105,16.71591,21.96707,29.11098,1.24E+18,322.62408,v5_13_2,v5_13_2,654,1.052268,13.84719,1,outside galaxy's center
1059,52618,0.1386932,4.07E-05,0,GALAXY,28.0084366,24.98762,17.44003,18.02027,20.47472,17.4531,1.24E+18,116.5711431,,26,439,15.94801,6.96735,1,overlayed with star
9228,58014,0.9774108,0.000105788,0,GALAXY,-1.245380784,28.10189,18.75947,20.19462,21.24044,18.45273,1.24E+18,326.374963,v5_13_2,v5_13_2,292,1.059772,7.90727,1,outside a galaxy's center
783,52325,0.1232064,2.66E-05,0,GALAXY,61.16150958,25.19122,16.73442,17.11995,24.67061,22.76592,1.24E+18,197.5411565,,26,50,11.96376,8.07127,0,overlayed with galaxy
1263,52708,0.09761791,2.94E-05,0,GALAXY,20.11038356,24.93637,17.15984,17.59426,20.47413,16.82672,1.24E+18,115.7713876,,26,288,15.63924,7.34211,1,near star
1188,52650,0.7464294,2.01E-05,0,GALAXY,5.105095503,26.38758,16.62807,16.73224,25.23609,23.32243,1.24E+18,132.1713065,,26,626,4.618803,9.65534,1,outside high proper motion star
830,52293,0.2056308,3.83E-05,0,GALAXY,41.72493208,25.03353,17.63913,18.2832,24.53133,17.30917,1.24E+18,134.5066925,,26,595,12.84959,6.75033,0,overlayed with radio galaxy
2216,53795,0.1991711,7.03E-05,0,GALAXY,26.96354823,25.05381,17.50613,18.12805,24.56865,19.34551,1.24E+18,170.1192264,,26,426,6.012109,6.92576,0,center of galaxy (very pretty!)
9419,58097,0.7964378,8.07E-05,0,GALAXY,3.499088858,30.43572,30.58019,16.82652,20.32065,28.65843,1.24E+18,36.77660264,v5_13_2,v5_13_2,314,1.059016,13.6092,0,overlayed with quasar
1922,53315,0.273258,6.74E-05,0,GALAXY,18.78147698,25.0017,17.37715,17.77212,24.49005,22.78382,1.24E+18,120.1472173,,26,135,6.566625,7.22958,0,center of galaxy
303,51615,0.1237411,2.62E-05,0,GALAXY,0.477505644,24.97851,17.42882,17.92692,20.7008,17.12013,1.24E+18,213.6610828,,26,422,9.632833,7.05159,0,overlayed with galaxy
1668,53433,0.07968359,1.90E-05,0,GALAXY,51.22123392,25.08869,17.08458,17.38616,19.83878,16.5009,1.24E+18,201.7619259,,26,435,20.89847,7.70253,1,near emission-line star
2651,54507,0.9615663,6.67E-05,0,GALAXY,23.05575606,25.08173,16.24793,17.39696,24.35504,22.83668,1.24E+18,198.7558181,,26,453,5.026034,7.68477,1,near star
790,52441,0.1763875,6.22E-05,0,GALAXY,57.69618894,27.44415,18.23692,16.56379,28.25609,26.34101,1.24E+18,218.6368849,,26,154,1.143904,10.88036,1,near star
9205,57711,0.8370396,0.000248662,0,GALAXY,-0.218674597,30.7842,18.03159,17.07769,28.44568,27.90043,1.24E+18,345.1401511,v5_13_2,v5_13_2,403,1.068114,13.70651,1,near spectroscopic binary
2481,54086,0.000105549,1.60E-05,0,GALAXY,23.98474687,25.78129,14.63905,15.27815,23.98722,22.95876,1.24E+18,162.082748,,26,381,19.80334,10.50314,1,near a star
2482,54175,0.03167353,1.83E-05,0,GALAXY,18.91876665,24.93047,17.26489,17.56336,22.70301,17.53135,1.24E+18,161.6967065,,26,359,5.384811,7.36711,0,at center of galaxy
2208,53880,0.05247142,1.43E-05,0,GALAXY,15.40628418,24.92413,16.00515,16.29201,24.39051,15.74219,1.24E+18,247.1181753,,26,157,25.94918,8.63212,0,center of galaxy
1424,52912,0.1389473,4.21E-05,0,GALAXY,22.92804581,24.90053,17.72858,18.44384,21.01433,17.27117,1.24E+18,252.5844254,,26,121,11.15304,6.45669,0,center of emission-line galaxy
1619,53084,0.4978858,3.95E-05,0,GALAXY,7.561871972,21.62057,18.91255,15.38639,18.22406,19.2595,1.24E+18,173.5217026,,26,427,1.159813,6.23418,1,around a star
2213,53792,0.4051502,0.000104193,4,GALAXY,27.67844747,29.75694,21.04989,17.22273,20.97139,19.63125,1.24E+18,167.3186544,,26,285,1.280216,12.53421,0,at center of galaxy
1295,52934,0.1161388,1.77E-05,0,GALAXY,5.825087588,25.01243,18.16084,18.74597,24.50075,18.14891,1.24E+18,122.7833661,,26,170,6.976762,6.26646,1,near galaxy
